"ZIP
code [1]",Size of adjusted gross income,,,,,
10455,"$75,000 under $100,000",,,,,
10455,"$100,000 under $200,000",,,,,
10455,"$200,000 or more",,,,,
,,,,,,
10456,,,,,,
10456,"$1 under $25,000",,,,,
10456,"$25,000 under $50,000",,,,,
10456,"$50,000 under $75,000",,,,,
10456,"$75,000 under $100,000",,,,,
10456,"$100,000 under $200,000",,,,,
10456,"$200,000 or more",,,,,
,,,,,,
10457,,,,,,
10457,"$1 under $25,000",,,,,
10457,"$25,000 under $50,000",,,,,
10457,"$50,000 under $75,000",,,,,
10457,"$75,000 under $100,000",,,,,
10457,"$100,000 under $200,000",,,,,
10457,"$200,000 or more",,,,,
,,,,,,
10458,,,,,,
10458,"$1 under $25,000",,,,,
10458,"$25,000 under $50,000",,,,,
10458,"$50,000 under $75,000",,,,,
10458,"$75,000 under $100,000",,,,,
10458,"$100,000 under $200,000",,,,,
10458,"$200,000 or more",,,,,
,,,,,,
10459,,,,,,
10459,"$1 under $25,000",,,,,
10459,"$25,000 under $50,000",,,,,
10459,"$50,000 under $75,000",,,,,
10459,"$75,000 under $100,000",,,,,
10459,"$100,000 under $200,000",,,,,
10459,"$200,000 or more",,,,,
,,,,,,
10460,,,,,,
10460,"$1 under $25,000",,,,,
10460,"$25,000 under $50,000",,,,,
10460,"$50,000 under $75,000",,,,,
10460,"$75,000 under $100,000",,,,,
10460,"$100,000 under $200,000",,,,,
10460,"$200,000 or more",,,,,
,,,,,,
10461,,,,,,
10461,"$1 under $25,000",,,,,
10461,"$25,000 under $50,000",,,,,
10461,"$50,000 under $75,000",,,,,
10461,"$75,000 under $100,000",,,,,
10461,"$100,000 under $200,000",,,,,
10461,"$200,000 or more",,,,,
,,,,,,
10462,,,,,,
10462,"$1 under $25,000",,,,,
10462,"$25,000 under $50,000",,,,,
10462,"$50,000 under $75,000",,,,,
10462,"$75,000 under $100,000",,,,,
10462,"$100,000 under $200,000",,,,,
10462,"$200,000 or more",,,,,
,,,,,,
10463,,,,,,
10463,"$1 under $25,000",,,,,
10463,"$25,000 under $50,000",,,,,
10463,"$50,000 under $75,000",,,,,
10463,"$75,000 under $100,000",,,,,
10463,"$100,000 under $200,000",,,,,
10463,"$200,000 or more",,,,,
,,,,,,
10464,,,,,,
10464,"$1 under $25,000",,,,,
10464,"$25,000 under $50,000",,,,,
