Address,Price,City,State,Lat,Long,Google Address,Google Street Number,Google Route,Google Neighorhood,Google Political,Google Adminstrative Level 2,Google Adminstrative Level 1,Country,Postal Code,,
 Thieriot Ave Gty,"$399,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Thieriot Ave Rr,"$399,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Undisclosed Address,"$409,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Waldo Ave,"$598,000 ",Bronx,NY,40.890989,-73.902414,"241 W 244th St, Bronx, NY 10471, USA",241,West 244th Street,West Bronx,Bronx,Bronx County,New York,United States,10471,,
 Webster Ave,"$2,100,000 ",Bronx,NY,40.864884,-73.887304,"2740 Webster Ave, Bronx, NY 10458, USA",2740,Webster Avenue,West Bronx,Bronx,Bronx County,New York,United States,10458,,
 Westchester Ave Amp Tiffany St,"$750,000 ",Bronx,NY,40.817036,-73.891984,"811-819 Tiffany St, Bronx, NY 10474, USA",811-819,Tiffany Street,West Bronx,Bronx,Bronx County,New York,United States,10474,,
 Wickham Ave Bghh,"$669,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Wickham Ave Tg,"$669,000 ",Bronx,NY,40.869075,-73.837384,"1799 Arnow Ave, Bronx, NY 10469, USA",1799,Arnow Avenue,East Bronx,Bronx,Bronx County,New York,United States,10469,3326,
 Zerega 2 Family Home For Sale,"$650,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Zerega Ave,"$649,000 ",Bronx,NY,40.827218,-73.843652,"930 Zerega Ave, Bronx, NY 10473, USA",930,Zerega Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,1124,
 Zerega Ave Dd,"$649,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Zerega Ave Sde,"$649,000 ",Bronx,NY,40.827218,-73.843652,"930 Zerega Ave, Bronx, NY 10473, USA",930,Zerega Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,1124,
1 Briggs Ave #2FAM,"$199,000 ",Bronx,NY,40.86563,-73.892416,"2661 1/2 Briggs Ave, Bronx, NY 10458, USA",2661 1/2,Briggs Avenue,West Bronx,Bronx,Bronx County,New York,United States,10458,,
1 Fam 2 Apts 6 Bdrm 2 Bdrm Basmt,"$385,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
1 Fam 2 Apts 9 Huge Bdrms Call 4 Mnthly Paymts,"$380,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
1 Fam 2 Apts Address Not Disclosed,"$380,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
1 Fam 5 Bdrms 2 Bthrms Parking E 232st,"$408,999 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
1 Fam 9 Bdrms 2 Fam 4 Price Of One Fam,"$380,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
1 Fam 9 Bdrms Use As Big 1 Fam Or 2 Fam W Basemt,"$380,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
1 Fam Brick Address Not Disclosed,"$399,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
1 Fam Brick E 232 St Neg,"$408,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
1 Fam Detached 9 Huge Bdrms Or Use As 2 Fam,"$385,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
1 Fam In Pelham Bay Pearsall Ave,"$449,000 ",Bronx,NY,40.865399,-73.851959,"2705 Pearsall Ave, Bronx, NY 10469, USA",2705,Pearsall Avenue,East Bronx,Bronx,Bronx County,New York,United States,10469,5322,
1 Fam In Throgs Neck Emerson Ave,"$440,000 ",Bronx,NY,40.813027,-73.827265,"204 Emerson Ave, Bronx, NY 10465, USA",204,Emerson Avenue,Throgs Neck,Bronx,Bronx County,New York,United States,10465,,
1 Fam Low Mnthly Payments E 232nd St,"$399,000 ",Bronx,NY,40.890921,-73.85198,"4175 Bronxwood Ave, Bronx, NY 10466, USA",4175,Bronxwood Avenue,East Bronx,Bronx,Bronx County,New York,United States,10466,4597,
1 Fam Reynold Ave Throgs Nck,"$429,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
1 Fordham Hill Oval #17G,"$185,000 ",Bronx,NY,40.863872,-73.908452,"1 Fordham Hill Oval, Bronx, NY 10468, USA",1,Fordham Hill Oval,West Bronx,Bronx,Bronx County,New York,United States,10468,,
1 Fordham Hill Oval #9D,"$60,000 ",Bronx,NY,40.863872,-73.908452,"1 Fordham Hill Oval, Bronx, NY 10468, USA",1,Fordham Hill Oval,West Bronx,Bronx,Bronx County,New York,United States,10468,,
10 Pennyfield Ave,"$365,000 ",Bronx,NY,40.809288,-73.802141,"10 Pennyfield Ave, Bronx, NY 10465, USA",10,Pennyfield Avenue,East Bronx,Bronx,Bronx County,New York,United States,10465,4100,
100 E 149th St,"$1,795,000 ",Bronx,NY,40.818892,-73.930012,"100 E 149th St, Bronx, NY 10451, USA",100,East 149th Street,West Bronx,Bronx,Bronx County,New York,United States,10451,5304,
100 Hawkins St,"$499,000 ",Bronx,NY,40.846131,-73.786784,"100 Hawkins St, Bronx, NY 10464, USA",100,Hawkins Street,City Island,Bronx,Bronx County,New York,United States,10464,1455,
1000 Clarence Ave,"$515,000 ",Bronx,NY,40.834108,-73.818126,"1000 Clarence Ave, Bronx, NY 10465, USA",1000,Clarence Avenue,East Bronx,Bronx,Bronx County,New York,United States,10465,1503,
1001 Anderson Ave #2,"$89,000 ",Bronx,NY,40.832364,-73.92733,"1001 Anderson Ave, Bronx, NY 10452, USA",1001,Anderson Avenue,West Bronx,Bronx,Bronx County,New York,United States,10452,,
1007 E 226th St,"$379,000 ",Bronx,NY,40.885767,-73.850939,"1007 E 226th St, Bronx, NY 10466, USA",1007,East 226th Street,East Bronx,Bronx,Bronx County,New York,United States,10466,4815,
1009 E 228th St,"$629,000 ",Bronx,NY,40.887153,-73.849849,"1009 E 228th St, Bronx, NY 10466, USA",1009,East 228th Street,East Bronx,Bronx,Bronx County,New York,United States,10466,4819,
101010 E 218 St,"$549,000 ",Bronx,NY,40.88105,-73.85745,"3749 Bronxwood Ave, Bronx, NY 10469, USA",3749,Bronxwood Avenue,East Bronx,Bronx,Bronx County,New York,United States,10469,1064,
