"","zpid","bathrooms","bedrooms","sqft","st","city","state","lat","long","valuation","lowval","highval","nb","nbid"
"808","2097132876","1.0","2","1200","59 Livingston St APT 6E","Brooklyn","NY","40.692065","-73.992001","1219263","1048566","1353382","Brooklyn Heights","403122"
"809","2098499086","2.5","4",NA,"59 Livingston St APT 5B","Brooklyn","NY","40.692065","-73.992001","1964398","1866178","2062618","Brooklyn Heights","403122"
"810","2098752168","1.5","1",NA,"59 Livingston St APT 4B","Brooklyn","NY","40.692065","-73.992001","1863156","1769998","2012208","Brooklyn Heights","403122"
"811","2101198644","1.0","1",NA,"59 Livingston St APT 6C","Brooklyn","NY","40.69207","-73.99203","1130400","1006056","1299960","Brooklyn Heights","403122"
"812","2111868472","2.5","4","2000","59 Livingston St APT 1F","Brooklyn","NY","40.692065","-73.992001","1982984","1883835","2082133","Brooklyn Heights","403122"
"813","30567969","1.0",NA,"47380","62 Court St","Brooklyn","NY","40.69211","-73.991545","4557634","4329752","4785516","Brooklyn Heights","403122"
"814","116167407",NA,NA,"20601","56 Court St","Brooklyn","NY","40.692272","-73.991493","","","","Brooklyn Heights","403122"
"815","30567970",NA,NA,"229084","77 Livingston St","BROOKLYN","NY","40.691665","-73.990545","2278637","1731764","2552073","Downtown","270825"
"816","30568005","1.0","1","31920","11 Schermerhorn St","Brooklyn","NY","40.691595","-73.993169","2745389","2168857","3816091","Brooklyn Heights","403122"
"817","89728739",NA,NA,NA,"11 Schermerhorn St","Brooklyn","NY","40.69157","-73.993148","754726","694348","830199","Brooklyn Heights","403122"
"818","30568016",NA,NA,"27690","38 Livingston St APT 24","Brooklyn","NY","40.69181","-73.992989","4600973","4094866","5521168","Brooklyn Heights","403122"
"819","79488610","1.0","2","1050","38 Livingston St APT 52","Brooklyn","NY","40.691799","-73.992965","874363","804414","944312","Brooklyn Heights","403122"
"820","79488611","1.0","1",NA,"38 Livingston St APT 54","Brooklyn","NY","40.691799","-73.992965","760094","706887","820902","Brooklyn Heights","403122"
"821","79491144",NA,NA,NA,"38 Livingston St APT 24","Brooklyn","NY","40.691799","-73.992965","881109","801809","960409","Brooklyn Heights","403122"
"822","79491145",NA,NA,NA,"38 Livingston St APT 44","Brooklyn","NY","40.691799","-73.992965","881109","801809","960409","Brooklyn Heights","403122"
"823","79716159",NA,NA,NA,"38 Livingston St APT 22","Brooklyn","NY","40.691799","-73.992965","881109","801809","960409","Brooklyn Heights","403122"
"824","92345744",NA,NA,NA,"38 Livingston St APT 42","Brooklyn","NY","40.691799","-73.992965","881109","801809","960409","Brooklyn Heights","403122"
"825","108256679",NA,NA,NA,"38 Livingston St APT 1","Brooklyn","NY","40.691799","-73.992965","881012","801721","960303","Brooklyn Heights","403122"
"826","110284620",NA,NA,NA,"38 Livingston St APT 53","Brooklyn","NY","40.691799","-73.992965","881012","801721","960303","Brooklyn Heights","403122"
"827","111374801",NA,NA,NA,"38 Livingston St APT 43","Brooklyn","NY","40.691799","-73.992965","881012","801721","960303","Brooklyn Heights","403122"
"828","121425876",NA,NA,NA,"38 Livingston St APT 23","Brooklyn","NY","40.691799","-73.992966","881012","801721","960303","Brooklyn Heights","403122"
"829","2128333276","1.0","1",NA,"38 Livingston St APT 23","Brooklyn","NY","40.691906","-73.992964","942273","895159","989387","Brooklyn Heights","403122"
"830","2130079698","1.0","2",NA,"38 Livingston St APT 1","Brooklyn","NY","40.691799","-73.992965","954830","907089","1002571","Brooklyn Heights","403122"
"831","2106128764","3.5","4","2893","31 Schermerhorn St APT 2","Brooklyn","NY","40.6913","-73.9924","2103507","1998332","2208682","Brooklyn Heights","403122"
"832","2106347829","3.5","3","2679","31 Schermerhorn St APT 1","Brooklyn","NY","40.6913","-73.9924","2032933","1931286","2134580","Brooklyn Heights","403122"
"833","2096801268",NA,NA,NA,"61 Schermerhorn St # 6D","Brooklyn","NY","40.691011","-73.991025","","","","Downtown","270825"
"834","2096716898","1.0","1","670","61 Schermerhorn St # 12A","Brooklyn","NY","40.691011","-73.991025","","","","Downtown","270825"
"835","2107696069","1.0","1","893","110 Livingston St","Brooklyn","NY","40.690809","-73.990016","","","","Downtown","270825"
"836","30568057","2.0","2","100000","96 Schermerhorn St","Brooklyn","NY","40.69027","-73.99024","2707917","2085096","3141184","Downtown","270825"
"837","95064070",NA,"2",NA,"96 Schermerhorn St","Brooklyn","NY","40.690185","-73.990287","950576","865024","1112174","Downtown","270825"
"838","94715887",NA,NA,"1147","199 State St","Brooklyn","NY","40.690261","-73.991271","1193459","1121851","1312805","Downtown","270825"
"839","94715897",NA,NA,"66878","199 State St","Brooklyn","NY","40.690261","-73.991271","","","","Downtown","270825"
"840","94716197",NA,NA,"1048","199 State St","Brooklyn","NY","40.690261","-73.991271","1129755","1039375","1220135","Downtown","270825"
"841","94716485",NA,"2","1242","199 State St","Brooklyn","NY","40.690261","-73.991271","1296851","1180134","1374662","Downtown","270825"
"842","94718302","1.5","1","990","199 State St","Brooklyn","NY","40.690261","-73.991271","1077134","1001735","1163305","Downtown","270825"
"843","62646266",NA,NA,"6728","119 Atlantic Ave","Brooklyn","NY","40.69104","-73.996275","5532043","5089480","6029927","Brooklyn Heights","403122"
"844","2097954073","1.0","1","750","200 Clinton St APT 5F","Brooklyn","NY","40.690671","-73.994459","","","","Brooklyn Heights","403122"
"845","2098923924","1.0","1",NA,"200 Clinton St APT 5E","Brooklyn","NY","40.69064","-73.99446","924351","794942","1035273","Brooklyn Heights","403122"
"846","2100008563",NA,NA,NA,"200 Clinton St APT 2H","Brooklyn","NY","40.69064","-73.99446","947027","852324","1202724","Brooklyn Heights","403122"
"847","2100891233","1.0","1","725","200 Clinton St APT 4F","Brooklyn","NY","40.690671","-73.994459","918149","835516","1000782","Brooklyn Heights","403122"
"848","2100895312","1.0","1",NA,"200 Clinton St APT 3D","Brooklyn","NY","40.69064","-73.99446","924351","794942","1035273","Brooklyn Heights","403122"
"849","2101039061","1.0","1","725","200 Clinton St APT 4B","Brooklyn","NY","40.690671","-73.994459","918149","835516","1000782","Brooklyn Heights","403122"
"850","2101096202",NA,NA,NA,"200 Clinton St APT 4D","Brooklyn","NY","40.69064","-73.99446","947027","852324","1202724","Brooklyn Heights","403122"
"851","2102235100","1.0","0","375","200 Clinton St APT 4A","Brooklyn","NY","40.69064","-73.99446","","","","Brooklyn Heights","403122"
"852","2102903486","1.0","1","600","200 Clinton St APT 1B","Brooklyn","NY","40.69064","-73.99446","","","","Brooklyn Heights","403122"
"853","2103459551","1.0","1","750","200 Clinton St APT 6F","Brooklyn","NY","40.690671","-73.994459","933963","859246","1074057","Brooklyn Heights","403122"
