CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
945757148,01/01/2015,18:20:00,,,01/01/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,49,FRONT OF,STREET,,,1022023,255666,40.868346087,-73.863429995,"(40.868346087, -73.863429995)"
599622932,01/01/2015,18:20:00,01/01/2015,18:35:00,01/01/2015,109,GRAND LARCENY,404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,79,INSIDE,RESIDENCE - PUBLIC HOUSING,,ARMSTRONG II,998989,189991,40.68815412,-73.946855378,"(40.68815412, -73.946855378)"
828011770,01/01/2015,18:20:00,01/01/2015,18:25:00,01/01/2015,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,44,REAR OF,RESIDENCE - PUBLIC HOUSING,,HIGHBRIDGE GARDENS,1003988,244111,40.836689799,-73.928671032,"(40.836689799, -73.928671032)"
224083526,01/01/2015,18:20:00,,,01/01/2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,69,INSIDE,RESIDENCE - APT. HOUSE,,,1013272,173996,40.644216116,-73.895422452,"(40.644216116, -73.895422452)"
577322360,01/01/2015,18:20:00,01/01/2015,19:18:00,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,102,INSIDE,RESIDENCE-HOUSE,,,1024109,187257,40.680572447,-73.856293659,"(40.680572447, -73.856293659)"
832230075,01/01/2015,18:14:00,,,01/01/2015,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,INSIDE,RESIDENCE-HOUSE,,,1047726,187713,40.681686211,-73.77114086,"(40.681686211, -73.77114086)"
253354355,01/01/2015,18:10:00,,,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,113,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE-HOUSE,,,1005616,243611,40.835313656,-73.922789259,"(40.835313656, -73.922789259)"
448687356,01/01/2015,18:10:00,01/01/2015,18:20:00,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE - APT. HOUSE,,,1009280,248029,40.847430149,-73.909531859,"(40.847430149, -73.909531859)"
404983541,01/01/2015,18:10:00,01/01/2015,18:20:00,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE - APT. HOUSE,,,1009280,248029,40.847430149,-73.909531859,"(40.847430149, -73.909531859)"
255808944,01/01/2015,18:00:00,01/01/2015,18:20:00,01/01/2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,CLOTHING/BOUTIQUE,,,988058,214775,40.75619167,-73.986256492,"(40.75619167, -73.986256492)"
353212367,01/01/2015,18:00:00,01/01/2015,18:30:00,01/01/2015,359,OFFENSES AGAINST PUBLIC ADMINI,748,"CONTEMPT,CRIMINAL",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1007037,235669,40.813511574,-73.917681039,"(40.813511574, -73.917681039)"
277888213,01/01/2015,18:00:00,,,01/01/2015,359,OFFENSES AGAINST PUBLIC ADMINI,748,"CONTEMPT,CRIMINAL",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1005947,235372,40.812699137,-73.921619736,"(40.812699137, -73.921619736)"
918962812,01/01/2015,18:00:00,01/01/2015,22:18:00,01/01/2015,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,52,FRONT OF,STREET,,,1015924,257212,40.872613373,-73.885474107,"(40.872613373, -73.885474107)"
218967681,01/01/2015,18:00:00,01/01/2015,18:24:00,01/01/2015,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,N.Y. TRANSIT POLICE,BROOKLYN,72,,TRANSIT - NYC SUBWAY,,,979305,172965,40.641432408,-74.017819698,"(40.641432408, -74.017819698)"
130001638,01/01/2015,18:00:00,01/01/2015,18:00:00,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,,STREET,,,1043991,193406,40.697338138,-73.784556739,"(40.697338138, -73.784556739)"
451071395,01/01/2015,18:00:00,01/02/2015,08:00:00,01/01/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,71,REAR OF,STREET,,,1001347,181783,40.665620774,-73.938373697,"(40.665620774, -73.938373697)"
